time,node,sf
100,pop8,d
100,pop8,e
100,pop8,a
100,pop8,b
100,pop8,c
100,pop27,a
100,pop27,d
100,pop27,b
100,pop27,e
100,pop27,c
100,pop38,b
100,pop38,a
100,pop38,c
100,pop38,e
100,pop38,d
100,pop52,a
100,pop52,b
100,pop52,c
100,pop52,d
100,pop52,e
100,pop70,a
100,pop70,b
100,pop70,d
100,pop70,e
100,pop70,c
100,pop13,b
100,pop13,a
100,pop13,d
100,pop13,c
100,pop13,e
100,pop72,a
100,pop72,b
100,pop72,d
100,pop72,c
100,pop72,e
100,pop20,d
100,pop20,a
100,pop20,b
100,pop20,c
100,pop20,e
100,pop1,a
100,pop1,d
100,pop1,b
100,pop1,e
100,pop1,c
100,pop21,c
100,pop0,c
100,pop37,b
100,pop37,d
100,pop37,e
100,pop37,a
100,pop37,c
100,pop45,a
100,pop45,b
200,pop8,a
200,pop8,c
200,pop8,e
200,pop8,d
200,pop8,b
200,pop27,a
200,pop27,b
200,pop27,e
200,pop27,c
200,pop27,d
200,pop38,b
200,pop38,c
200,pop38,e
200,pop38,a
200,pop38,d
200,pop52,a
200,pop52,b
200,pop52,c
200,pop52,d
200,pop52,e
200,pop70,a
200,pop70,b
200,pop70,c
200,pop70,e
200,pop70,d
200,pop13,b
200,pop13,a
200,pop13,c
200,pop13,d
200,pop13,e
200,pop72,a
200,pop72,b
200,pop72,c
200,pop72,d
200,pop72,e
200,pop20,a
200,pop20,b
200,pop20,c
200,pop20,e
200,pop20,d
200,pop62,d
200,pop62,b
200,pop62,e
200,pop62,a
200,pop62,c
200,pop42,a
200,pop42,c
200,pop35,b
200,pop35,c
200,pop68,d
200,pop68,b
200,pop68,e
200,pop1,b
200,pop1,e
200,pop1,c
200,pop44,e
200,pop0,d
200,pop28,a
200,pop28,e
200,pop37,b
200,pop37,c
200,pop31,b
200,pop31,a
200,pop31,c
200,pop36,d
200,pop36,e
200,pop10,b
200,pop10,a
200,pop39,a
200,pop39,b
300,pop8,c
300,pop8,b
300,pop8,e
300,pop8,d
300,pop8,a
300,pop27,b
300,pop27,c
300,pop27,a
300,pop27,e
300,pop27,d
300,pop38,c
300,pop38,e
300,pop38,b
300,pop38,a
300,pop38,d
300,pop52,b
300,pop52,c
300,pop52,d
300,pop52,e
300,pop52,a
300,pop70,a
300,pop70,b
300,pop70,c
300,pop70,e
300,pop70,d
300,pop13,b
300,pop13,a
300,pop13,c
300,pop13,d
300,pop13,e
300,pop72,a
300,pop72,b
300,pop72,c
300,pop72,d
300,pop72,e
300,pop20,a
300,pop20,b
300,pop20,c
300,pop20,e
300,pop20,d
300,pop62,c
300,pop42,d
300,pop68,a
300,pop68,e
300,pop68,b
300,pop1,b
300,pop1,a
300,pop1,c
300,pop37,d
300,pop37,e
300,pop45,d
300,pop45,a
300,pop45,b
300,pop45,c
400,pop8,d
400,pop8,b
400,pop8,a
400,pop8,e
400,pop8,c
400,pop27,b
400,pop27,c
400,pop27,a
400,pop27,e
400,pop27,d
400,pop38,c
400,pop38,a
400,pop38,b
400,pop38,d
400,pop38,e
400,pop52,b
400,pop52,c
400,pop52,a
400,pop52,e
400,pop52,d
400,pop70,a
400,pop70,b
400,pop70,c
400,pop70,d
400,pop70,e
400,pop13,a
400,pop13,c
400,pop13,d
400,pop13,e
400,pop13,b
400,pop72,a
400,pop72,b
400,pop72,c
400,pop72,d
400,pop72,e
400,pop20,a
400,pop20,b
400,pop20,c
400,pop20,d
400,pop20,e
400,pop62,b
400,pop62,a
400,pop42,a
400,pop42,c
400,pop1,a
400,pop1,e
400,pop1,c
400,pop44,d
400,pop44,e
400,pop0,d
400,pop0,a
400,pop0,e
400,pop28,b
400,pop37,a
400,pop37,b
400,pop37,c
400,pop45,c
400,pop7,a
400,pop7,b
400,pop7,c
400,pop31,b
400,pop31,a
400,pop31,c
500,pop8,b
500,pop8,a
500,pop8,c
500,pop8,e
500,pop8,d
500,pop27,b
500,pop27,c
500,pop27,a
500,pop27,d
500,pop27,e
500,pop38,c
500,pop38,a
500,pop38,b
500,pop38,d
500,pop38,e
500,pop52,b
500,pop52,c
500,pop52,a
500,pop52,e
500,pop52,d
500,pop70,a
500,pop70,c
500,pop70,d
500,pop70,e
500,pop70,b
500,pop13,c
500,pop13,d
500,pop13,b
500,pop13,a
500,pop13,e
500,pop72,a
500,pop72,b
500,pop72,c
500,pop72,d
500,pop72,e
500,pop20,a
500,pop20,b
500,pop20,c
500,pop20,d
500,pop20,e
500,pop62,b
500,pop62,c
500,pop62,a
500,pop68,b
500,pop68,e
500,pop68,a
500,pop68,c
500,pop1,b
500,pop1,c
500,pop21,d
500,pop21,b
500,pop0,c
500,pop37,c
500,pop37,d
500,pop7,a
500,pop7,b
500,pop7,e
500,pop7,c
500,pop17,a
500,pop17,b
500,pop5,b
500,pop5,c
500,pop3,d
500,pop3,e
500,pop10,d
500,pop10,e
500,pop18,a
500,pop18,b
600,pop8,b
600,pop8,a
600,pop8,c
600,pop8,d
600,pop27,b
600,pop27,c
600,pop27,a
600,pop27,d
600,pop27,e
600,pop38,c
600,pop38,b
600,pop38,d
600,pop38,e
600,pop38,a
600,pop52,b
600,pop52,c
600,pop52,a
600,pop52,d
600,pop52,e
600,pop70,c
600,pop70,b
600,pop70,e
600,pop70,a
600,pop70,d
600,pop13,c
600,pop13,d
600,pop13,b
600,pop13,a
600,pop13,e
600,pop72,a
600,pop72,b
600,pop72,c
600,pop72,d
600,pop72,e
600,pop20,a
600,pop20,b
600,pop20,c
600,pop20,e
600,pop20,d
600,pop42,d
600,pop68,a
600,pop44,c
600,pop33,a
600,pop33,c
600,pop21,b
600,pop0,a
600,pop0,c
600,pop28,a
600,pop28,c
600,pop37,b
600,pop37,a
600,pop37,d
600,pop37,c
600,pop37,e
600,pop45,b
600,pop45,a
600,pop45,d
600,pop45,c
600,pop7,b
600,pop7,a
600,pop7,c
700,pop8,a
700,pop8,c
700,pop8,d
700,pop8,e
700,pop8,b
700,pop27,b
700,pop27,c
700,pop27,a
700,pop27,d
700,pop27,e
700,pop38,c
700,pop38,a
700,pop38,b
700,pop38,e
700,pop38,d
700,pop52,b
700,pop52,c
700,pop52,a
700,pop52,d
700,pop52,e
700,pop70,c
700,pop70,b
700,pop70,e
700,pop70,a
700,pop70,d
700,pop13,b
700,pop13,e
700,pop13,a
700,pop13,c
700,pop13,d
700,pop72,a
700,pop72,b
700,pop72,c
700,pop72,e
700,pop72,d
700,pop20,a
700,pop20,b
700,pop20,c
700,pop20,e
700,pop20,d
700,pop62,b
700,pop62,d
700,pop62,a
700,pop62,e
700,pop62,c
700,pop35,e
700,pop35,b
700,pop35,d
700,pop35,a
700,pop44,a
700,pop44,b
700,pop37,a
700,pop37,b
700,pop37,c
700,pop7,b
700,pop7,c
700,pop17,a
700,pop31,b
700,pop31,a
700,pop31,c
700,pop56,b
700,pop56,a
700,pop56,c
800,pop8,a
800,pop8,c
800,pop8,b
800,pop8,e
800,pop8,d
800,pop27,c
800,pop27,a
800,pop27,d
800,pop27,b
800,pop27,e
800,pop38,c
800,pop38,a
800,pop38,b
800,pop38,d
800,pop38,e
800,pop52,b
800,pop52,a
800,pop52,d
800,pop52,c
800,pop52,e
800,pop70,c
800,pop70,b
800,pop70,a
800,pop70,d
800,pop70,e
800,pop13,b
800,pop13,e
800,pop13,a
800,pop13,c
800,pop13,d
800,pop72,a
800,pop72,b
800,pop72,c
800,pop72,d
800,pop72,e
800,pop20,a
800,pop20,b
800,pop20,c
800,pop20,e
800,pop20,d
800,pop66,e
800,pop2,c
800,pop35,a
800,pop35,b
800,pop35,c
800,pop68,b
800,pop68,a
800,pop44,c
800,pop33,d
800,pop33,e
800,pop37,a
800,pop37,d
800,pop37,b
800,pop37,c
800,pop45,c
800,pop7,b
800,pop7,a
800,pop7,c
800,pop31,a
800,pop31,b
800,pop31,c
800,pop10,d
900,pop8,a
900,pop8,b
900,pop8,c
900,pop8,d
900,pop8,e
900,pop27,c
900,pop27,a
900,pop27,b
900,pop27,d
900,pop27,e
900,pop38,a
900,pop38,b
900,pop38,d
900,pop38,e
900,pop38,c
900,pop52,b
900,pop52,a
900,pop52,d
900,pop52,c
900,pop52,e
900,pop70,b
900,pop70,a
900,pop70,c
900,pop70,d
900,pop70,e
900,pop13,b
900,pop13,a
900,pop13,c
900,pop13,e
900,pop13,d
900,pop72,a
900,pop72,b
900,pop72,c
900,pop72,d
900,pop72,e
900,pop20,a
900,pop20,b
900,pop20,c
900,pop20,e
900,pop20,d
900,pop66,a
900,pop2,b
900,pop2,a
900,pop2,c
900,pop62,a
900,pop62,b
900,pop42,a
900,pop42,b
900,pop42,c
900,pop35,c
900,pop68,b
900,pop68,a
900,pop68,c
900,pop1,b
900,pop1,a
900,pop1,c
900,pop44,b
900,pop44,a
900,pop44,c
900,pop33,d
900,pop33,a
900,pop33,b
900,pop33,c
900,pop37,a
900,pop37,c
900,pop37,d
900,pop37,b
900,pop37,e
900,pop45,c
900,pop17,a
900,pop50,a
900,pop50,d
900,pop50,e
900,pop50,c
900,pop56,a
900,pop56,b
900,pop5,a
900,pop5,b
900,pop39,b
900,pop39,a
900,pop39,c
1000.0,pop8,a
1000.0,pop8,b
1000.0,pop8,c
1000.0,pop8,e
1000.0,pop8,d
1000.0,pop27,c
1000.0,pop27,a
1000.0,pop27,e
1000.0,pop27,b
1000.0,pop27,d
1000.0,pop38,a
1000.0,pop38,b
1000.0,pop38,c
1000.0,pop38,d
1000.0,pop38,e
1000.0,pop52,b
1000.0,pop52,a
1000.0,pop52,c
1000.0,pop52,d
1000.0,pop52,e
1000.0,pop70,b
1000.0,pop70,c
1000.0,pop70,a
1000.0,pop70,d
1000.0,pop70,e
1000.0,pop13,a
1000.0,pop13,c
1000.0,pop13,e
1000.0,pop13,b
1000.0,pop72,a
1000.0,pop72,b
1000.0,pop72,c
1000.0,pop72,e
1000.0,pop72,d
1000.0,pop20,b
1000.0,pop20,d
1000.0,pop20,a
1000.0,pop20,e
1000.0,pop20,c
1000.0,pop21,d
1000.0,pop21,a
1000.0,pop21,e
1000.0,pop21,b
1000.0,pop21,c
1000.0,pop0,c
1000.0,pop37,c
1000.0,pop17,b
1000.0,pop17,d
1000.0,pop5,a
1000.0,pop3,a
