time,node,sf
100,pop20,b
100,pop20,c
100,pop20,e
100,pop20,a
100,pop20,d
100,pop21,d
100,pop21,e
100,pop21,a
100,pop21,b
100,pop21,c
100,pop25,d
100,pop25,b
100,pop25,e
100,pop25,c
100,pop25,a
100,pop12,c
100,pop12,b
100,pop12,a
100,pop12,d
100,pop12,e
100,pop13,a
100,pop13,d
100,pop13,b
100,pop13,e
100,pop13,c
100,pop8,a
100,pop8,c
100,pop8,b
100,pop8,d
100,pop8,e
100,pop19,a
100,pop19,c
100,pop19,b
100,pop31,d
100,pop31,e
100,pop11,d
100,pop11,e
100,pop1,e
100,pop1,c
100,pop1,d
200,pop20,c
200,pop20,d
200,pop20,e
200,pop20,b
200,pop20,a
200,pop21,b
200,pop21,d
200,pop21,a
200,pop21,e
200,pop25,a
200,pop25,b
200,pop25,d
200,pop25,c
200,pop25,e
200,pop12,a
200,pop12,b
200,pop12,c
200,pop13,d
200,pop13,a
200,pop13,e
200,pop13,b
200,pop13,c
200,pop8,b
200,pop8,d
200,pop8,e
200,pop8,c
200,pop19,d
200,pop19,e
200,pop19,b
200,pop31,a
200,pop31,b
200,pop31,c
200,pop11,a
200,pop11,c
300,pop20,b
300,pop20,c
300,pop20,a
300,pop20,d
300,pop20,e
300,pop21,b
300,pop21,c
300,pop21,a
300,pop21,d
300,pop25,b
300,pop25,e
300,pop25,a
300,pop25,c
300,pop25,d
300,pop12,a
300,pop12,b
300,pop12,c
300,pop13,d
300,pop13,b
300,pop13,a
300,pop13,e
300,pop13,c
300,pop8,b
300,pop8,a
300,pop19,a
300,pop19,c
300,pop19,b
300,pop31,a
300,pop31,c
300,pop11,c
300,pop11,b
300,pop1,c
300,pop1,b
300,pop28,a
400,pop20,c
400,pop20,a
400,pop20,d
400,pop20,e
400,pop21,b
400,pop21,d
400,pop21,e
400,pop21,a
400,pop21,c
400,pop25,d
400,pop25,a
400,pop12,b
400,pop12,d
400,pop12,a
400,pop12,e
400,pop12,c
400,pop13,b
400,pop13,a
400,pop13,c
400,pop8,c
400,pop8,e
400,pop8,a
400,pop8,b
400,pop19,b
400,pop19,a
400,pop19,c
400,pop19,e
400,pop31,c
400,pop2,c
400,pop5,c
500,pop20,c
500,pop20,b
500,pop20,d
500,pop20,e
500,pop21,b
500,pop21,a
500,pop21,c
500,pop25,d
500,pop25,b
500,pop25,c
500,pop25,e
500,pop12,b
500,pop12,a
500,pop12,d
500,pop12,c
500,pop12,e
500,pop13,a
500,pop13,c
500,pop13,d
500,pop13,e
500,pop13,b
500,pop8,a
500,pop8,c
500,pop19,a
500,pop19,c
500,pop19,d
500,pop19,b
500,pop31,b
500,pop31,d
500,pop31,a
500,pop31,e
500,pop31,c
500,pop2,b
500,pop2,c
500,pop11,d
500,pop1,a
500,pop1,c
600,pop20,a
600,pop20,c
600,pop20,b
600,pop20,d
600,pop20,e
600,pop21,a
600,pop21,b
600,pop21,c
600,pop25,a
600,pop25,b
600,pop25,c
600,pop12,b
600,pop12,a
600,pop12,c
600,pop13,c
600,pop13,a
600,pop13,b
600,pop8,b
600,pop8,a
600,pop8,c
600,pop19,a
600,pop19,b
600,pop19,c
600,pop19,d
600,pop19,e
600,pop31,b
600,pop31,a
600,pop31,c
600,pop2,c
600,pop11,a
600,pop11,c
600,pop1,b
600,pop1,a
600,pop3,c
700,pop20,b
700,pop20,a
700,pop20,c
700,pop21,b
700,pop21,d
700,pop21,c
700,pop21,e
700,pop21,a
700,pop25,b
700,pop25,c
700,pop25,a
700,pop25,e
700,pop12,a
700,pop12,b
700,pop13,b
700,pop13,c
700,pop13,d
700,pop13,a
700,pop13,e
700,pop8,d
700,pop8,e
700,pop19,b
700,pop19,a
700,pop19,e
700,pop19,c
700,pop11,b
700,pop1,a
800,pop20,e
800,pop20,b
800,pop20,d
800,pop20,a
800,pop21,e
800,pop21,a
800,pop21,d
800,pop21,b
800,pop21,c
800,pop25,b
800,pop25,a
800,pop25,c
800,pop12,e
800,pop12,a
800,pop12,d
800,pop12,b
800,pop12,c
800,pop13,e
800,pop13,b
800,pop13,a
800,pop13,d
800,pop13,c
800,pop8,c
800,pop8,b
800,pop8,a
800,pop19,b
800,pop19,d
800,pop19,a
800,pop19,c
800,pop31,a
800,pop2,e
800,pop2,b
800,pop1,b
800,pop5,c
900,pop20,e
900,pop20,b
900,pop20,c
900,pop20,d
900,pop20,a
900,pop21,c
900,pop21,d
900,pop21,e
900,pop21,a
900,pop25,b
900,pop25,a
900,pop25,c
900,pop12,b
900,pop12,a
900,pop12,c
900,pop12,d
900,pop13,c
900,pop13,a
900,pop13,b
900,pop8,a
900,pop19,a
900,pop19,c
900,pop19,b
900,pop31,b
900,pop31,a
900,pop2,b
900,pop2,c
900,pop11,e
900,pop1,a
900,pop1,c
1000.0,pop20,b
1000.0,pop20,a
1000.0,pop20,c
1000.0,pop21,d
1000.0,pop21,e
1000.0,pop21,b
1000.0,pop21,c
1000.0,pop21,a
1000.0,pop25,c
1000.0,pop25,d
1000.0,pop25,e
1000.0,pop25,a
1000.0,pop25,b
1000.0,pop12,c
1000.0,pop12,a
1000.0,pop12,e
1000.0,pop12,b
1000.0,pop13,d
1000.0,pop13,e
1000.0,pop13,b
1000.0,pop13,a
1000.0,pop13,c
1000.0,pop8,b
1000.0,pop8,c
1000.0,pop19,c
1000.0,pop19,a
1000.0,pop19,e
1000.0,pop19,b
1000.0,pop19,d
1000.0,pop1,e
